Area,Item,Historical_Trend,Avg_Yield_Last_5Y,Volatility,Growth_Rate
Afghanistan,"Almonds, in shell",17.53731545809382,1676.0399999999997,862.2702747796754,0.18388994705702544
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",0.2414487361861275,704.02,48.890427318208644,-0.03924820399243689
Afghanistan,Apples,10.499947196618258,10242.560000000001,1052.0114785123112,0.6952570475681208
Afghanistan,Apricots,-5.371889400926309,7188.460000000001,1177.813062947325,0.0997651958540624
Afghanistan,Barley,7.709744623656495,1494.72,279.74230876625745,0.3902638926756241
Afghanistan,Cantaloupes and other melons,94.7716157834055,12072.08,2116.619445184884,1.3308766495142121
Afghanistan,"Cereals, primary",17.74778225806568,2164.68,403.38745219684483,1.1712626927546488
Afghanistan,"Citrus Fruit, Total",-17.342746735793416,7911.7,1040.853175097033,0.1971194428162848
Afghanistan,"Fibre Crops, Fibre Equivalent",0.7691340245773549,475.4,74.65778886216775,1.0731224173430087
Afghanistan,Figs,59.52001728110599,5929.9,1843.1943612027146,1.4028400527863694
Afghanistan,Fruit Primary,73.73654953917749,11094.9,1473.3100098434704,1.2005501808833197
Afghanistan,Grapes,85.424515168965,11076.36,1898.0537824681978,1.5499174934915594
Afghanistan,"Hen eggs in shell, fresh",-0.23583909370199693,42.0,6.829388918153052,-0.28082010116998735
Afghanistan,Linseed,8.494786866359302,1052.7000000000003,213.76152654398487,1.3391843980671947
Afghanistan,Maize (corn),11.058640553000624,2175.2400000000002,401.51817727473764,1.1578694385501853
Afghanistan,Millet,22.355702764975504,1602.8200000000002,624.3998046788206,1.1048734387202552
Afghanistan,Mustard seed,7.020238095273574,1035.9599999999998,92.45304503213663,-0.5573631455936368
Afghanistan,"Oilcrops, Cake Equivalent",3.3606518817202122,466.73999999999995,90.48639610562647,0.9825470465709474
Afghanistan,"Oilcrops, Oil Equivalent",2.4940236175113393,254.16,60.76563764903656,0.7388418358691418
Afghanistan,Olives,28.78725038402603,3546.96,1098.073297411177,1.216420193569423
Afghanistan,"Onions and shallots, dry (excluding dehydrated)",-111.46731283428642,17763.52,2157.659911196935,-0.36303867811565693
Afghanistan,Oranges,-46.5481326804962,6376.76,1365.0610608378176,-0.2770388794444578
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,-49.63859927035447,4212.219999999999,1726.0236923872244,-1.3458682598996963
Afghanistan,"Other citrus fruit, n.e.c.",27.74060099845111,8787.08,1489.8883149154701,0.4671201425038962
Afghanistan,"Other fruits, n.e.c.",46.64211789554764,7417.139999999999,1725.216577255824,0.6083892107169309
Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",-12.088277649769585,845.8199999999999,308.7451446867457,-0.9553649890704063
Afghanistan,Other pulses n.e.c.,-3.218740399384543,609.4799999999999,126.57568122398926,-0.7150121299871359
Afghanistan,"Other stimulant, spice and aromatic crops, n.e.c.",-0.20999999999993532,1.9400000000000002,1.0276726672978662,-10.822047076250364
Afghanistan,Other stone fruits,-4.8255520353395625,7048.920000000001,619.6546532533384,0.16841873946484842
Afghanistan,"Other vegetables, fresh n.e.c.",82.7713757680445,9030.880000000001,1767.9614104231798,1.2157494169778849
Afghanistan,Peaches and nectarines,20.202246543766012,9467.28,1327.588113369836,0.5233690919331346
Afghanistan,Pears,16.98264208909719,6767.5,2118.3363699835986,0.0787167140370082
Afghanistan,"Pistachios, in shell",16.28142640034953,1287.6399999999999,245.41449345808977,1.0644417562287067
Afghanistan,Plums and sloes,16.719873271881262,9240.46,1037.9488352061908,0.34639005656249555
Afghanistan,Potatoes,92.34334197389795,15662.579999999998,2951.2332320686833,0.8418094241756435
Afghanistan,"Pulses, Total",-3.218740399384543,609.4799999999999,126.57568122398926,-0.7150121299871359
Afghanistan,Rice,44.57505280337651,4515.539999999999,944.9167892829055,1.8130970083767295
Afghanistan,"Roots and Tubers, Total",92.34334197389795,15662.579999999998,2951.2332320686833,0.8418094241756435
Afghanistan,"Seed cotton, unginned",2.1979406681998586,1358.24,213.31151129269696,1.0734867846343032
Afghanistan,Sesame seed,15.449457565283597,672.24,555.9154872603699,0.32539440004184517
Afghanistan,Soya beans,0.0,1794.85,290.1259123208404,0.0
Afghanistan,Sugar Crops Primary,88.07275825653306,25325.26,4223.691132342489,0.8071031972616272
Afghanistan,Sugar beet,-68.15877496156499,16251.64,5931.164007582214,0.8289971327317458
Afghanistan,Sugar cane,47.26826516899407,27338.080000000005,5121.21417676822,0.18295536157597603
Afghanistan,Sunflower seed,-6.2972158218120144,1062.94,179.05421461566715,-0.48746719431577157
Afghanistan,"Treenuts, Total",16.58927611367389,1751.2,675.1683528727796,0.4186567730155133
Afghanistan,Vegetables Primary,122.18006432411907,11418.16,2974.9211138749215,1.6110302668939758
Afghanistan,"Walnuts, in shell",29.26809596178552,2865.3,1090.7772290130251,0.8152592897402888
Afghanistan,Watermelons,119.80444988479961,15326.340000000002,2617.62444855763,1.8739036982727608
Afghanistan,Wheat,18.354891513054802,2038.72,417.2570024925073,1.2042421543544624
Africa,"Abaca, manila hemp, raw",-4.850398425498868,152.84,102.31682762657272,-1.5205418522928449
Africa,"Almonds, in shell",7.431182795699143,618.64,146.9986938055667,1.6006626524792456
Africa,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",0.8441772273424046,1094.06,96.02999507402389,0.31318333549708033
Africa,Apples,135.65736847156592,20190.8,3141.014448133681,1.8196527165771803
Africa,Apricots,59.76280241935949,7481.979999999999,1316.8822046102882,1.5280834559711742
